시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
B10,서울특별시교육청,7010271,경기기계공업고등학교,1,조식,20251103,120,쌀밥 <br/>쇠고기미역국 (5.6.16)<br/>갈비소스맛구웁닭 (2.5.6.12.15)<br/>치즈그릴비엔나 (1.2.5.6.10.15.16)<br/>배추김치 (9)<br/>오이소박이 (9)<br/>귤 <br/>바나나항아리우유 (2),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1140.2 Kcal,탄수화물(g) : 121.5<br/>단백질(g) : 47.6<br/>지방(g) : 50.8<br/>비타민A(R.E) : 159.3<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 55.6<br/>칼슘(mg) : 310.6<br/>철분(mg) : 3.1,20251110
B10,서울특별시교육청,7010271,경기기계공업고등학교,1,조식,20251104,120,쌀밥 <br/>참치김치찌개 (5.9)<br/>계란장조림 (1.5.6.13)<br/>숙주나물무침 <br/>치즈함박-1 (1.2.5.6.10.12.13.15.16.18)<br/>깍두기 (9)<br/>과일맛젤리(쁘띠첼)렌덤 ,쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,901.4 Kcal,탄수화물(g) : 142.2<br/>단백질(g) : 33.2<br/>지방(g) : 20.5<br/>비타민A(R.E) : 80.8<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 3.1<br/>칼슘(mg) : 116.9<br/>철분(mg) : 3.4,20251111
B10,서울특별시교육청,7010271,경기기계공업고등학교,1,조식,20251105,120,쌀밥 <br/>아욱된장국 (5.6)<br/>갈비찜 (5.6.10.13)<br/>동그랑땡 (1.2.5.6.10.12.15.16.18)<br/>배추김치 (9)<br/>(미니)모구모구 (13)<br/>사과 ,쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1014.2 Kcal,탄수화물(g) : 130.1<br/>단백질(g) : 39.8<br/>지방(g) : 34.9<br/>비타민A(R.E) : 107.2<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 105.6<br/>칼슘(mg) : 151.7<br/>철분(mg) : 1.9,20251112
B10,서울특별시교육청,7010271,경기기계공업고등학교,1,조식,20251106,120,굴소스볶음밥 (1.2.5.6.10.13.15.16.18)<br/>콩나물국 (5.6)<br/>애호박볶음 (9)<br/>닭봉오븐구이 (15)<br/>깍두기 (9)<br/>모듬시리얼&우유 (2.5.6)<br/>호떡 (1.2.5.6),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1016.3 Kcal,탄수화물(g) : 163.8<br/>단백질(g) : 33.7<br/>지방(g) : 23.0<br/>비타민A(R.E) : 755.7<br/>티아민(mg) : 1.4<br/>리보플라빈(mg) : 1.6<br/>비타민C(mg) : 75.1<br/>칼슘(mg) : 325.0<br/>철분(mg) : 4.9,20251113
B10,서울특별시교육청,7010271,경기기계공업고등학교,2,중식,20251103,772,혼합잡곡밥 (5)<br/>부대찌개 (1.2.5.6.9.10.15.16)<br/>분모자찜닭 (5.6.13.15)<br/>콩나물무침 (5)<br/>계란말이 (1.2.5.6.10.15.16.18)<br/>깍두기 (9)<br/>거꾸로야쿠르트 (2),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1163.5 Kcal,탄수화물(g) : 164.8<br/>단백질(g) : 59.1<br/>지방(g) : 27.1<br/>비타민A(R.E) : 257.7<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 1.7<br/>비타민C(mg) : 31.9<br/>칼슘(mg) : 272.8<br/>철분(mg) : 5.8,20251110
B10,서울특별시교육청,7010271,경기기계공업고등학교,2,중식,20251104,772,반반스파게티(토마토+투움바) (1.2.5.6.9.10.12.13.16.18)<br/>수제고르곤졸라피자 (6.12.13)<br/>(추가배식대)미역국 (5.6)<br/>참나물겉절이 <br/>(추가배식대)배추김치 (9)<br/>오이피클 <br/>옥수수마카로니샐러드 (6.13.1.5),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1228.2 Kcal,탄수화물(g) : 206.9<br/>단백질(g) : 46.1<br/>지방(g) : 43.6<br/>비타민A(R.E) : 109.9<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 27.3<br/>칼슘(mg) : 305.3<br/>철분(mg) : 5.8,20251111
B10,서울특별시교육청,7010271,경기기계공업고등학교,2,중식,20251105,772,보리밥 <br/>근대된장국 (5.6)<br/>오리불고기 (5.6.13)<br/>김치전 (5.6.9.12.13)<br/>배추겉절이 (9)<br/>상추쌈 (5.6)<br/>연두부 (3.5.6.13)<br/>파인애플 ,쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1044.6 Kcal,탄수화물(g) : 142.3<br/>단백질(g) : 35.6<br/>지방(g) : 35.2<br/>비타민A(R.E) : 197.6<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 1.1<br/>비타민C(mg) : 28.9<br/>칼슘(mg) : 206.6<br/>철분(mg) : 4.8,20251112
B10,서울특별시교육청,7010271,경기기계공업고등학교,2,중식,20251106,772,일본식카레소스 (1.2.5.6.7.10.12.13.15.16.18)<br/>쌀밥 <br/>추가배식대:유부국 (5.6)<br/>오이토마토무침 (5.6.12.13)<br/>우삼겹떡볶이 (5.6.13)<br/>깍두기 (9),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1234.2 Kcal,탄수화물(g) : 198.6<br/>단백질(g) : 39.3<br/>지방(g) : 31.0<br/>비타민A(R.E) : 60.8<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 9.6<br/>칼슘(mg) : 212.0<br/>철분(mg) : 4.4,20251113
B10,서울특별시교육청,7010271,경기기계공업고등학교,3,석식,20251103,160,쌀밥 <br/>참치고추장찌개 (5.6)<br/>김치전 (5.6.9.12.13)<br/>삼겹살구이 (10)<br/>배추김치 (9)<br/>치즈팡팡소시지바 (1.2.5.6.10.15.16)<br/>코코팜 <br/>상추쌈 (5.6)<br/>과일샐러드 (1.5.12.13),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1404.5 Kcal,탄수화물(g) : 118.8<br/>단백질(g) : 58.3<br/>지방(g) : 74.6<br/>비타민A(R.E) : 87.3<br/>티아민(mg) : 1.5<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 20.2<br/>칼슘(mg) : 151.7<br/>철분(mg) : 3.4,20251110
B10,서울특별시교육청,7010271,경기기계공업고등학교,3,석식,20251104,160,롤김밥&유부초밥 (1.2.5.6.8.9.12.13.16.18)<br/>돈코츠라멘 (1.2.5.6.9.10.13.15.16.17.18)<br/>치즈스틱+양파링 (1.2.5.6.12)<br/>연어스테이크 (1.5.13)<br/>배추김치 (9)<br/>딸기라떼 (2),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1227.1 Kcal,탄수화물(g) : 78.9<br/>단백질(g) : 65.6<br/>지방(g) : 71.1<br/>비타민A(R.E) : 325.5<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 60.1<br/>칼슘(mg) : 695.4<br/>철분(mg) : 5.6,20251111
